Time,u,du
971.0,11.0162,0.0
972.0,10.160932239783628,-1.6639021458669307
973.0,7.762534810697479,-2.8801459687501527
974.0,3.529607683381316,-4.939939161441037
975.0,-1.7870884752665588,-5.559291421696975
976.0,-6.972447691801668,-4.700374933173817
977.0,-10.53504718116448,-2.4932045484595546
978.0,-11.593427795078972,0.2171832137651922
979.0,-9.538304129983224,3.5878858551598767
980.0,-5.0907956499202855,3.9840883269049545
981.0,-0.9646133411125477,5.052586148266083
982.0,4.071293167289632,4.806154246042517
983.0,8.157699434133372,3.1011829501243735
984.0,10.183544534783014,0.7180752581453407
985.0,9.578570307691919,-2.0374391489746255
986.0,6.166098923014076,-4.78367127117704
987.0,0.7654855505641351,-5.600531536274819
988.0,-5.073250309298748,-5.870342624719039
989.0,-10.340326820401284,-4.00023214419821
990.0,-13.062651312743036,-0.8778618891268223
991.0,-12.209315948973561,2.4555023272010534
992.0,-9.466416082273408,1.8986369697253396
993.0,-8.008454643726555,1.0259185446170023
994.0,-6.370200583374668,3.0017103599946426
995.0,-2.5274125973929698,4.68606748665339
996.0,2.26543587085552,4.895219839445414
997.0,6.679081912035643,3.8196251709597195
998.0,9.588357048257075,1.6733542830953474
999.0,9.724339540499782,-1.1260336554018529
1000.0,6.8980549490076095,-3.950654174241261
1001.0,2.3131376063649944,-5.087768275714308
1002.0,-3.3623967181264347,-5.642878634635471
1003.0,-8.663280272701128,-4.906495795096054
1004.0,-12.233680363911574,-1.9883939368385222
1005.0,-12.372705970999661,1.3863440300731753
1006.0,-9.716686173077793,3.2769217014466125
1007.0,-7.006190032964529,2.417053827482677
1008.0,-4.97229180871688,2.719046059802409
1009.0,-1.4920241653010784,4.276290314466919
1010.0,2.7428342049480405,4.187821976480106
1011.0,6.313005744549581,3.1893250373598185
1012.0,8.910375410199052,1.965668492388208
1013.0,9.638526557685925,-0.8317276032971951
1014.0,7.534420924172391,-3.4809817561517478
1015.0,3.3038724444912915,-4.782582678766325
1016.0,-1.8314125698680157,-5.301394791244114
1017.0,-6.698787399489333,-3.8677205071949015
1018.0,-9.664631537544528,-1.6043851242678324
1019.0,-10.027257631529089,1.1053220145933138
1020.0,-7.672198815743856,3.646687677424209
1021.0,-3.1443400584898664,5.525373981232605
1022.0,2.6255377318308564,5.716120547256706
1023.0,8.054965714032475,4.85246561787037
1024.0,11.763929021741035,2.7122554945158455
1025.0,13.121235552218776,-0.18043888735618324
1026.0,11.33814100396804,-2.631424436280912
1027.0,8.910360839819132,-2.1975778529673113
1028.0,6.8978576026483225,-1.8871934028661195
1029.0,3.8967805518615304,-4.369038228457032
1030.0,-1.13677823846842,-5.690990410418752
1031.0,-6.641182736829764,-5.075447430457855
1032.0,-10.635450891983158,-2.5357565580105472
1033.0,-11.660150493733985,0.45340162350069746
1034.0,-9.58804938329281,3.9356720108589744
1035.0,-5.040502798827176,4.431416817294137
1036.0,-0.4840354642192879,5.348481014752122
1037.0,4.770576809416703,5.227840850264589
1038.0,9.099656963325671,3.3724506143280912
1039.0,11.37147249118914,1.0380753847849655
1040.0,10.685124660344059,-2.2823100315171376
1041.0,7.1179716712945,-4.558490195536554
1042.0,2.5897063946270955,-5.39782456222946
1043.0,-2.9430086883873887,-5.449624037221467
1044.0,-8.505552768298159,-4.952299207441674
1045.0,-12.186277086264214,-1.9967140414407016
1046.0,-12.526442470140855,1.442565167955358
1047.0,-9.81880819332126,2.996401376622358
1048.0,-7.276177256215388,2.3480983727439146
1049.0,-5.0667704107074245,3.124437264222288
1050.0,-1.4812731981601521,3.8363303828022053
1051.0,2.516941307819142,4.082320697708227
1052.0,6.268662769316268,3.1290009548442264
1053.0,8.692369328299934,1.45921321318864
1054.0,8.974437334158276,-1.2766003724313015
1055.0,6.692413055439455,-3.322950870997354
1056.0,2.4386085945984224,-5.105449189949841
1057.0,-2.6577166047680634,-4.841819439819868
1058.0,-6.9525357978236855,-3.542201564423571
1059.0,-9.772903969269647,-1.6164793650794151
1060.0,-9.848215472420783,1.6686230376607456
1061.0,-7.278319657752984,3.631521805536059
1062.0,-2.89576972578321,5.070726222254007
1063.0,2.396806646729506,5.411295327262847
1064.0,7.384933669101383,4.3648818934025515
1065.0,10.486645620939857,1.6157517312656655
1066.0,10.538060275863257,-1.3099917351615373
1067.0,7.907385185379109,-4.033404562754265
1068.0,3.0844510376663945,-5.343005767662725
