ss1,ss2,ss3
1.9350074713283757e-5,1.5028952525611623e-5,2.8500114282769735e-5
1.3502727659179369e-5,7.872923836234995e-6,4.875338980306057e-6
1.9566606128272088e-5,1.3467153677917332e-5,2.529147565662394e-5
4.955939367000443e-6,1.1053665669475166e-5,2.2287411114138336e-5
8.42720428568406e-7,1.1263200652198892e-5,1.4910619064778169e-5
1.7864392357842336e-6,7.724288738712535e-6,2.734184971765073e-5
1.2966452045935538e-6,4.62383882044867e-5,3.429504216471444e-5
9.333737944310859e-6,1.136055917186358e-5,2.726628927217885e-5
2.892955168505645e-5,3.695971940330746e-6,4.67939899310071e-6
2.3774604604466013e-5,2.6360130905108336e-5,1.3217561253120743e-5
5.503089031892721e-6,2.7194418161830274e-5,6.564221900550741e-6
1.4259426595786025e-5,1.6318224271557687e-5,1.8012427618137087e-5
1.371433362551696e-5,2.2347783764661117e-5,6.9861460295471205e-6
2.9396122605405622e-6,1.358988392248974e-5,3.859736663043009e-5
5.1184516673139565e-5,0.00013984772293115409,1.6738397495992882e-5
1.3609486987836827e-5,2.384316832056028e-5,1.0975491908890116e-5
2.03409665668878e-5,1.0136038914610078e-5,2.0673000577445735e-5
3.11790150569093e-7,1.7024603133737332e-5,4.294090303618452e-6
2.0495793881885096e-5,3.185939843153324e-5,1.6864339944221017e-5
1.0346199228711959e-5,3.4277928205138094e-5,1.823425398704768e-5
1.3940552394727306e-5,1.6314163550265765e-5,4.2531887532063525e-5
1.8862549089093245e-5,1.944707497414182e-5,1.0312062516537156e-5
9.703480303065254e-6,4.2550798390620955e-6,1.3814027450143885e-5
2.06559751744207e-6,2.0930168348263228e-5,5.118975861894637e-7
1.0773469620716748e-5,3.671926183695646e-5,6.626341045892798e-6
1.682255490641542e-5,8.830571626587373e-6,1.0191631810781822e-5
1.8963818713774223e-5,8.788692373512496e-6,9.805726302879525e-6
1.2667305439072048e-5,1.9130903974591594e-5,1.0442617686319659e-5
2.9781158655631925e-5,8.842208592105561e-6,4.9579359167313106e-5
2.2744273784285246e-5,9.521135101316623e-7,1.9023574989244456e-6
