Parameter,Value
N,3.30943
T,3.75205
tau,4.7946
sigma,0.0561615
B_max,7.73158
tspan,"(971, 1899)"
dt,0.01
B0,"[3.0, 0.0]"
h,"[0.0, 0.0]"
noise0,[1.0]
