Parameter,Value
N,3.52515
T,0.763072
tau,0.72469
sigma,0.0725866
B_max,6.6435
tspan,"(971, 1899)"
dt,0.01
B0,"[3.0, 0.0]"
h,"[0.0, 0.0]"
noise0,[1.0]
