Parameter,Value
N,4.969013671589867
T,6.244768157731836
tau,0.543695331904234
sigma,0.14564961346866517
B_max,6.126734729146558
tspan,"(971, 1899)"
dt,0.01
B0,"[3.0, 0.0]"
h,"[0.0, 0.0]"
noise0,[1.0]
